file	key	previous_hungarian	revised_hungarian	english_source	method
budgets.yml	budgets.ballots.show.title	A szavazólapod	Az Ön szavazólapja	Your ballot	human editorial revision
budgets.yml	budgets.ballots.show.amount_available.knapsack	Továbbra is elérhető az Ön számára: <span>%{count}</span>	Még felhasználható: <span>%{count}</span>	Still available to you <span>%{count}</span>	human editorial revision
budgets.yml	budgets.ballots.show.amount_available.approval.zero	Még mindig <span>%{count}</span> szavazatot adhat le.	Még <span>%{count}</span> szavazatot adhat le.	You can still cast <span>%{count}</span> votes.	human editorial revision
budgets.yml	budgets.ballots.show.amount_available.approval.one	Még mindig <span>%{count}</span> szavazatot adhat le.	Még <span>%{count}</span> szavazatot adhat le.	You can still cast <span>%{count}</span> vote.	human editorial revision
budgets.yml	budgets.ballots.show.amount_available.approval.other	Még mindig <span>%{count}</span> szavazatot adhat le.	Még <span>%{count}</span> szavazatot adhat le.	You can still cast <span>%{count}</span> votes.	human editorial revision
budgets.yml	budgets.ballots.show.amount_limit.approval.one	Szavazhat <span>1</span> projektre	Legfeljebb <span>1</span> projektre szavazhat.	You can vote <span>1</span> project	human editorial revision
budgets.yml	budgets.ballots.show.amount_limit.approval.other	Legfeljebb <span>%{count}</span> projektre szavazhat	Legfeljebb <span>%{count}</span> projektre szavazhat.	You can vote up to <span>%{count}</span> projects	human editorial revision
budgets.yml	budgets.ballots.show.no_balloted_group_yet	Még nem szavazott erre a csoportra, menjen szavazni!	Ebben a kategóriában még nem szavazott. Adja le szavazatát most!	You have not voted on this group yet, go vote!	human editorial revision
budgets.yml	budgets.ballots.show.remove_label	Távolítsa el szavazatát %{investment}	Szavazat eltávolítása: %{investment}	Remove your vote for %{investment}	human editorial revision
budgets.yml	budgets.ballots.show.voted.one	Ön <span>egy</span> befektetésre szavazott.	Ön <span>egy</span> beruházási projektre szavazott.	You have voted <span>one</span> investment.	human editorial revision
budgets.yml	budgets.ballots.show.voted.other	Ön <span>%{count}</span> befektetésre szavazott.	Ön <span>%{count}</span> beruházási projektre szavazott.	You have voted <span>%{count}</span> investments.	human editorial revision
budgets.yml	budgets.ballots.show.voted_info	Szavazásod megerősítésre került!	Szavazata megerősítést nyert.	Your ballot is confirmed!	human editorial revision
budgets.yml	budgets.ballots.show.voted_info_2	De bármikor megváltoztathatja szavazatát, amíg ez a szakasz le nem zárul.	Szavazatát a szakasz lezárásáig bármikor módosíthatja.	But you can change your vote at any time until this phase is closed.	human editorial revision
budgets.yml	budgets.ballots.reasons_for_not_balloting.not_verified	Csak ellenőrzött felhasználók szavazhatnak a befektetésekre; %{verify_account}.	Beruházási projektekre csak ellenőrzött felhasználók szavazhatnak; %{verify_account}.	Only verified users can vote on investments; %{verify_account}.	human editorial revision
budgets.yml	budgets.ballots.reasons_for_not_balloting.not_selected	A ki nem választott beruházási projektek nem támogathatók	A végső szavazásra ki nem választott beruházási projektek nem támogathatók.	Unselected investment projects can not be supported	human editorial revision
budgets.yml	budgets.ballots.reasons_for_not_balloting.not_enough_money	Már hozzárendelte a rendelkezésre álló költségkeretet.<br><small>Ne feledje, hogy bármikor %{change_ballot}-t tehet</small>	Már felhasználta a rendelkezésre álló költségkeretet.<br><small>Ne feledje: bármikor %{change_ballot}.</small>	You have already assigned the available budget.<br><small>Remember you can %{change_ballot} at any time</small>	human editorial revision
