file	key	previous_hungarian	revised_hungarian	english_source
budgets.yml	budgets.ballots.show.title	Az Ön szavazata	A szavazólapod	Your ballot
budgets.yml	budgets.ballots.show.amount_available.knapsack	Még mindig elérhető. <span>%{count}</span>	Továbbra is elérhető az Ön számára: <span>%{count}</span>	Still available to you <span>%{count}</span>
budgets.yml	budgets.ballots.show.amount_available.approval.zero	Még mindig játszhatsz. <span>%{count}</span> szavazatok.	Még mindig <span>%{count}</span> szavazatot adhat le.	You can still cast <span>%{count}</span> votes.
budgets.yml	budgets.ballots.show.amount_available.approval.one	Még mindig játszhatsz. <span>%{count}</span> szavazás.	Még mindig <span>%{count}</span> szavazatot adhat le.	You can still cast <span>%{count}</span> vote.
budgets.yml	budgets.ballots.show.amount_available.approval.other	Még mindig játszhatsz. <span>%{count}</span> szavazatok.	Még mindig <span>%{count}</span> szavazatot adhat le.	You can still cast <span>%{count}</span> votes.
budgets.yml	budgets.ballots.show.amount_spent.approval.zero	Szavazat: <span>%{count}</span>	Leadott szavazatok: <span>%{count}</span>	Votes cast: <span>%{count}</span>
budgets.yml	budgets.ballots.show.amount_spent.approval.one	Szavazat: <span>%{count}</span>	Leadott szavazatok: <span>%{count}</span>	Votes cast: <span>%{count}</span>
budgets.yml	budgets.ballots.show.amount_spent.approval.other	Szavazat: <span>%{count}</span>	Leadott szavazatok: <span>%{count}</span>	Votes cast: <span>%{count}</span>
budgets.yml	budgets.ballots.show.amount_limit.knapsack	Összesen <span>%{count}</span>	Teljes költségkeret: <span>%{count}</span>	Total budget <span>%{count}</span>
budgets.yml	budgets.ballots.show.amount_limit.approval.one	Szavazhatsz. <span>1</span> projekt	Szavazhat <span>1</span> projektre	You can vote <span>1</span> project
budgets.yml	budgets.ballots.show.amount_limit.approval.other	Szavazhat a <span>%{count}</span> projektek	Legfeljebb <span>%{count}</span> projektre szavazhat	You can vote up to <span>%{count}</span> projects
budgets.yml	budgets.ballots.show.no_balloted_group_yet	Még nem szavaztál erről a csoportról, menj szavazni!	Még nem szavazott erre a csoportra, menjen szavazni!	You have not voted on this group yet, go vote!
budgets.yml	budgets.ballots.show.remove	A szavazás megszüntetése	Szavazat eltávolítása	Remove vote
budgets.yml	budgets.ballots.show.remove_label	A szavazatok törlése %{investment}	Távolítsa el szavazatát %{investment}	Remove your vote for %{investment}
budgets.yml	budgets.ballots.show.voted.one	Szavaztál. <span>egy</span> befektetés.	Ön <span>egy</span> befektetésre szavazott.	You have voted <span>one</span> investment.
budgets.yml	budgets.ballots.show.voted.other	Szavaztál. <span>%{count}</span> befektetések.	Ön <span>%{count}</span> befektetésre szavazott.	You have voted <span>%{count}</span> investments.
budgets.yml	budgets.ballots.show.voted_info	A szavazatok megerősítve!	Szavazásod megerősítésre került!	Your ballot is confirmed!
budgets.yml	budgets.ballots.show.voted_info_2	De bármikor megváltoztathatja a szavazatát, amíg ez a szakasz le nem zárul.	De bármikor megváltoztathatja szavazatát, amíg ez a szakasz le nem zárul.	But you can change your vote at any time until this phase is closed.
budgets.yml	budgets.ballots.reasons_for_not_balloting.not_verified	Csak ellenőrzött felhasználók szavazhatnak beruházásokról; %{verify_account}.	Csak ellenőrzött felhasználók szavazhatnak a befektetésekre; %{verify_account}.	Only verified users can vote on investments; %{verify_account}.
budgets.yml	budgets.ballots.reasons_for_not_balloting.not_selected	A nem kiválasztott beruházási projektek nem támogathatók	A ki nem választott beruházási projektek nem támogathatók	Unselected investment projects can not be supported
budgets.yml	budgets.ballots.reasons_for_not_balloting.not_enough_money	Már kiosztotta a rendelkezésre álló költségvetést.<br><small>Ne feledd, meg tudod csinálni. %{change_ballot} bármikor</small>	Már hozzárendelte a rendelkezésre álló költségkeretet.<br><small>Ne feledje, hogy bármikor %{change_ballot}-t tehet</small>	You have already assigned the available budget.<br><small>Remember you can %{change_ballot} at any time</small>
budgets.yml	budgets.ballots.reasons_for_not_balloting.no_ballots_allowed	A kiválasztási szakasz lezárult.	A kiválasztási fázis lezárult	Selecting phase is closed
